Quantity,Unit,Ingredient,Grams
3.44,teaspoon,pudding mix,10.32
4.67,teaspoon,pineapple,22.18
3.3,gallon,semolina,8993.16
0.3,gallon,pumpkin puree,1192.28
4.58,tablespoon,walnuts,39.85
4.41,pint,paprika,1209.84
1.88,quart,watermelon,1671.77
3.99,cup,yeast,718.2
3.37,pint,cornstarch,892.65
4.26,quart,mayonnaise,3667.26
2.19,cup,water,525.6
0.46,gallon,coconut,1654.05
3.1,liter,avocado,3255.0
4.4,ounce,gelatin,106.03
4.9,teaspoon,mustard,20.82
3.26,pound,sunflower oil,1360.44
0.76,quart,pumpkin,740.53
0.59,teaspoon,lettuce,1.92
1.99,liter,quinoa,1432.8
1.99,teaspoon,vinegar,9.95
2.8,cup,plums,611.52
2.72,pint,vegetable broth,1350.89
4.99,gallon,graham crackers,14165.36
1.06,ml,black beans,0.93
4.96,ounce,saffron,42.18
2.66,cup,chickpeas,574.56
2.56,pound,taco seasoning,754.79
2.54,liter,pumpkin puree,2667.0
0.45,ml,tomatoes,0.43
0.82,liter,coconut oil,754.4
2.34,liter,cream cheese,2503.8
0.38,liter,cornstarch,212.8
1.89,tablespoon,cream of tartar,19.84
3.74,quart,cashews,2122.82
3.38,pound,pudding mix,919.9
2.46,liter,lentils,2091.0
4.97,liter,soy sauce,5467.0
4.95,ml,oil,4.55
1.72,ounce,turmeric,25.36
4.43,gallon,lentils,14252.42
3.43,liter,rice,2915.5
2.48,teaspoon,water,12.4
3.77,ounce,semolina,76.95
2.83,pint,soy sauce,1472.45
1.99,liter,hazelnuts,1273.6
4.09,pint,potatoes,1992.61
2.92,liter,onion,2686.4
3.2,ounce,eggplant,85.28
3.25,cup,olive oil,717.6
4.44,quart,nutmeg,2016.12
2.61,pint,cornmeal,1049.35
2.39,pound,pasta,975.69
2.37,ounce,hazelnuts,43.0
1.66,pint,tomatoes,745.92
0.48,pint,wasabi,158.93
2.21,pound,raspberries,862.11
3.1,tablespoon,canola oil,42.78
4.12,gallon,apple cider vinegar,15750.14
3.52,cup,ginger,464.64
0.43,ounce,butternut squash,12.8
2.29,ounce,ginger,35.71
1.91,teaspoon,saffron,2.86
0.47,ounce,apples,10.66
2.69,ml,sesame oil,2.45
2.88,quart,baking powder,2315.81
4.33,ml,wasabi,3.03
2.21,ml,chocolate chips,2.17
1.11,cup,hazelnuts,170.5
2.78,tablespoon,spinach,37.95
1.78,pint,peach,825.1
0.92,liter,cinnamon,515.2
0.81,quart,lentils,651.32
2.1,ounce,tomatoes,56.56
4.37,ml,salmon,4.72
1.27,cup,strawberries,243.84
2.2,cup,yogurt,554.4
4.77,ounce,spinach,123.06
2.36,ml,yeast,1.77
0.53,pint,garam masala,142.89
0.3,pint,yeast,106.43
3.64,tablespoon,cocoa powder,27.3
0.96,pound,semolina,313.53
3.11,liter,pumpkin puree,3265.5
4.6,teaspoon,cinnamon,12.88
3.71,pint,saffron,526.45
2.27,ml,nutmeg,1.09
1.3,ml,watermelon,1.22
4.45,cup,cheddar,1100.04
1.37,liter,apples,1096.0
1.42,pound,lemon,605.47
3.17,cup,raspberries,654.29
1.58,quart,spinach,1360.16
0.69,tablespoon,chicken breast,12.11
2.49,quart,beef,2708.87
4.04,teaspoon,salt,24.24
4.19,liter,pineapple,3980.5
2.21,ml,pecans,1.44
2.27,tablespoon,butternut squash,35.75
